"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0xb8126a451fd169327fba115f4379171749dfcfe1bb890c1a98cf5d80e03f7e2a","15874413","1667296415","2022-11-01 09:53:35","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","6,609.166666666666666667","$261.72","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xf5b75267d6921ba11cfe2b5619401ec57b34f407c545f47a7e77d661307d513c","15913604","1667769359","2022-11-06 21:15:59","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","6,021.277777777777777777","$237.57","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xee8731000e09d2830e2d6880a2936d7651a764dc6c43e5f9e6baff3b715143a0","15967357","1668417815","2022-11-14 09:23:35","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc5e5eadb8ae93967e819e8723b854ee8c4368758","6,308.712666666666666666","$248.55","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x0adc7600bc98744aa9e404a8341466a50e26a8f6ec2ac96253005a40ad642b7e","15995437","1668756911","2022-11-18 07:35:11","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","3,158.965800520833333334","$112.71","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x9b65d2bcc0949241473f21f23867bc79d16e4326aedd50ac3fd84d5fe3b3a2f4","15996738","1668772559","2022-11-18 11:55:59","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","12,772.222222222222222223","$455.69","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xdcf6c236ca1f648d26d2322bc505c8fb77218e33bc38173f695c9de1cebc7959","16025012","1669113599","2022-11-22 10:39:59","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","4,341.944444444444444444","$145.47","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xc7dae62349b096631710b774ef33d3706b3b13c40e3c133de53a291bc4cfed3d","16054862","1669474151","2022-11-26 14:49:11","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,390.783564236111111111","$51.16","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x1b7e5b310ecf3900fa8c93a6963458de52b1ae74e1564fd1929e796365a164cb","16070290","1669660235","2022-11-28 18:30:35","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","29,227.685243055555555556","$966.90","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xa9af74986bfa0b70fa64f606aef8dfa7f06dd79e1a06c96b13242ce213bf489d","16085527","1669844255","2022-11-30 21:37:35","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","9,302.333333333333333333","$308.37","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xd2ecac4959ac4569a42ce66cf0357a3fca9ebe0dccf54abeefa754195e928d6d","16110095","1670140583","2022-12-04 07:56:23","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,292.262941666666666666","$42.52","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
